Cell Type,Treated Sample Name,Control Sample Name,Call Type,Event Type,Chromosome,Event Start,Event End,Event Size,Treated Fractional Copy Number,Control Fractional Copy Number,Found in Control
HCM,Sample8,HG002,Aneuploidy,gain,5,,,,2.695,,no
HCM,Sample8,HG002,Aneuploidy,gain,10,,,,2.376,,no
HCM,Sample8,HG002,Aneuploidy,gain,21,,,,2.347,,no
HCM,Sample8,HG002,CNV,gain,10,18514.000,39512270.000,39493756.000,2.406,,no
HCM,Sample8,HG002,CNV,gain,10,42178604.000,46404297.000,4225693.000,2.389,,no
HCM,Sample8,HG002,CNV,gain,10,47686678.000,98844380.000,51157702.000,2.383,,no
HCM,Sample8,HG002,CNV,gain,10,101275106.000,132148913.000,30873807.000,2.387,,no
HCM,Sample8,HG002,CNV,gain,20,32821561.000,61861320.000,29039759.000,2.290,,no
HCM,Sample8,HG002,CNV,gain,21,12406577.000,43121077.000,30714500.000,2.336,,no
HCM,Sample8,HG002,CNV,gain,5,19314.000,46400789.000,46381475.000,2.649,,no
HCM,Sample8,HG002,CNV,gain,5,49709239.000,70107744.000,20398505.000,2.669,,no
HCM,Sample8,HG002,CNV,gain,5,71001016.000,181472714.000,110471698.000,2.693,,no
HCM,Sample8,HG002,CNV,loss,6,74488138.000,126892338.000,52404200.000,1.359,,no
